Time,Quadrant,Color,Type
0.1,4,Red,Exit
0.1,1,Red,Entry
0.1,3,Red,Exit
0.1,1,Red,Entry
0.1,2,Red,Exit
0.1,1,Red,Entry
0.1,2,Blue,Exit
0.1,4,Blue,Entry
0.1,2,Blue,Exit
0.1,4,Blue,Entry
0.1,2,Blue,Exit
0.1,4,Blue,Entry
0.1,2,Blue,Exit
0.1,4,Blue,Entry
0.1,4,Blue,Exit
0.1,2,Blue,Entry
0.1,4,Blue,Exit
0.1,2,Blue,Entry
0.1,4,Blue,Exit
0.1,2,Blue,Entry
0.1,4,Blue,Exit
0.1,2,Blue,Entry
0.15,2,Blue,Exit
0.15,4,Blue,Entry
0.15,2,Blue,Exit
0.15,4,Blue,Entry
0.15,2,Blue,Exit
0.15,4,Blue,Entry
0.15,2,Blue,Exit
0.15,4,Blue,Entry
0.15,4,Blue,Exit
0.15,2,Blue,Entry
0.15,4,Blue,Exit
0.15,2,Blue,Entry
0.15,4,Blue,Exit
0.15,2,Blue,Entry
0.15,4,Blue,Exit
0.15,2,Blue,Entry
0.2,2,Blue,Exit
0.2,4,Blue,Entry
0.2,2,Blue,Exit
0.2,4,Blue,Entry
0.2,2,Blue,Exit
0.2,4,Blue,Entry
0.2,2,Blue,Exit
0.2,4,Blue,Entry
0.2,4,Blue,Exit
0.2,2,Blue,Entry
0.2,4,Blue,Exit
0.2,2,Blue,Entry
0.2,4,Blue,Exit
0.2,2,Blue,Entry
0.2,4,Blue,Exit
0.2,2,Blue,Entry
0.25,2,Blue,Exit
0.25,4,Blue,Entry
0.25,2,Blue,Exit
0.25,4,Blue,Entry
0.25,2,Blue,Exit
0.25,4,Blue,Entry
0.25,2,Blue,Exit
0.25,4,Blue,Entry
0.25,4,Blue,Exit
0.25,2,Blue,Entry
0.25,4,Blue,Exit
0.25,2,Blue,Entry
0.25,4,Blue,Exit
0.25,2,Blue,Entry
0.25,4,Blue,Exit
0.25,2,Blue,Entry
0.3,2,Red,Exit
0.3,3,Red,Entry
0.3,1,Red,Exit
0.3,3,Red,Entry
0.3,1,Red,Exit
0.3,2,Red,Entry
0.3,2,Blue,Exit
0.3,4,Blue,Entry
0.3,2,Blue,Exit
0.3,4,Blue,Entry
0.3,2,Blue,Exit
0.3,4,Blue,Entry
0.3,2,Blue,Exit
0.3,4,Blue,Entry
0.3,4,Blue,Exit
0.3,2,Blue,Entry
0.3,4,Blue,Exit
0.3,2,Blue,Entry
0.3,4,Blue,Exit
0.3,2,Blue,Entry
0.3,4,Blue,Exit
